name,price,profit
Share-MOEX,40.6,16.69
Share-GBGY,27.08,34.09
Share-AXWK,-9.27,27.19
Share-FJTI,33.5,20.81
Share-LGDP,15.26,3.4
Share-GEBJ,5.87,37.95
Share-GGNT,33.39,7.88
Share-FDLS,-6.38,10.96
Share-JDYS,-2.7,11.96
Share-TNOV,34.54,22.32
Share-CKCJ,25.49,10.37
Share-FUDY,7.03,19.96
Share-RPPH,-2.32,38.98
Share-UZLL,16.66,19.4
Share-EMFC,32.38,30.46
Share-IZKC,40.45,0.8
Share-PWAT,24.36,9.64
Share-ULRO,-5.34,19.83
Share-NWWZ,45.76,4.76
Share-BYFY,-1.6,0.35
Share-AJGB,28.6,36.45
Share-TXMC,0.0,24.8
Share-LCVY,0.0,18.92
Share-SAPZ,22.52,11.93
Share-LXVL,0.0,1.46
Share-MNSA,44.49,22.76
Share-HATC,43.45,34.14
Share-QUIN,30.69,10.17
Share-QXFW,0.0,30.24
Share-OBKS,0.0,29.94
Share-CZFA,38.63,16.72
Share-GMHT,40.95,31.02
Share-EPGY,0.0,9.8
Share-GDNK,38.36,16.88
Share-CLRP,0.0,2.36
Share-ONSO,-7.72,25.13
Share-QKBL,0.0,20.47
Share-JLWC,-5.75,7.35
Share-BFWU,0.0,28.11
Share-TFWQ,25.49,17.62
Share-FEPY,0.0,37.41
Share-MHUQ,29.91,37.89
Share-PZAR,33.75,23.1
Share-QBGQ,19.63,25.52
Share-HPRB,33.43,32.43
Share-VSEE,-3.35,31.75
Share-TULV,0.0,20.12
Share-HQEZ,-2.84,26.29
Share-ENZZ,37.24,38.19
Share-OLFJ,43.8,28.11
Share-SJWC,31.98,1.77
Share-CGSX,32.29,30.11
Share-CUXK,-7.58,34.09
Share-PSOJ,16.49,3.82
Share-IRTW,0.0,3.24
Share-WERP,24.67,35.15
Share-LRIX,9.94,9.25
Share-IRFE,-6.48,11.54
Share-XHEE,23.46,22.49
Share-BOSL,41.4,10.68
Share-BCFB,-3.26,3.63
Share-BZTM,-7.84,12.08
Share-DEHD,30.97,13.34
Share-UMBE,0.0,15.58
Share-IOLP,19.28,11.24
Share-HOJS,34.19,8.58
Share-UIOA,0.0,32.35
Share-ZIJI,42.07,30.83
Share-JVQK,-1.25,2.3
Share-JKKM,-3.41,7.31
Share-BDTH,0.0,6.6
Share-BTDW,0.0,23.13
Share-EPFF,-8.67,11.48
Share-OEHW,-3.77,27.92
Share-YCGH,24.45,38.59
Share-IORJ,0.0,28.73
Share-POKS,0.0,23.65
Share-HGAB,0.0,17.23
Share-ROOM,15.06,39.23
Share-MIHK,16.76,22.48
Share-DEFG,0.0,15.41
Share-ZZKC,17.92,28.33
Share-GDZR,25.11,26.67
Share-BLOZ,18.48,20.11
Share-XBET,26.57,11.3
Share-GWZB,14.73,24.83
Share-MJLJ,25.22,32.46
Share-PUWX,32.05,2.19
Share-MPMV,0.0,34.73
Share-FFZA,4.57,34.5
Share-MZYQ,38.88,15.02
Share-ZLRS,0.0,8.61
Share-PVHB,-3.03,39.89
Share-XXGF,0.0,36.79
Share-LOMC,30.82,1.87
Share-QWTM,31.88,1.41
Share-MEBX,-8.32,27.93
Share-BMCJ,0.0,4.68
Share-QTXH,0.0,28.33
Share-KDZP,-6.43,18.86
Share-XSEW,-8.38,26.44
Share-CIJC,-6.24,24.29
Share-WVRU,0.0,1.04
Share-YQYJ,0.0,25.45
Share-WFJB,-1.15,26.59
Share-RZAH,-6.55,9.41
Share-DHVR,-3.04,2.12
Share-BRMD,-7.21,23.32
Share-SQVH,-1.57,23.43
Share-KLNI,49.68,3.12
Share-IZGR,-6.95,27.01
Share-IWYJ,28.61,29.58
Share-XYUA,24.2,16.15
Share-DWYI,-3.94,15.73
Share-OAVO,24.38,38.66
Share-SEHV,34.6,7.55
Share-RCCZ,-5.7,36.17
Share-UBWD,26.4,35.05
Share-EBJX,34.76,35.75
